Rate,Building Type,City,Cost Point Selector,Battery Capacity (kWh),Battery Power (kW),BAU Demand Cost,BAU Energy Cost,Capital Cost ($),Max Demand Rate ($/kW),Npv ($),PV Size (kW),Total Demand Savings ($),Total kWh Savings ($)
SC-9_-_General_Large_Low_Tension_Service_[NYC],Supermarket,New York,1,0 kWh,0 kW,0,2335860,$323K,$21.82,$0M,588 kW,0,817120
Small_General_Service_Time-Of-Use_(A-1)(B),Small Office,Los Angeles,1,0 kWh,0 kW,17925.7,108076,$18K,$7.48,$0M,33 kW,3956.5,51501.6
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),Hospital,LasVegas,1,0 kWh,0 kW,1662760,4159200,$651K,$16.30,$0M,"1,184 kW",166800,954280
GSEDS-1_Secondary_Demand,Secondary School,Helena,1,0 kWh,0 kW,630089,1671580,$155K,$9.41,$0M,282 kW,69210,254400
SC-9_-_General_Large_Low_Tension_Service_[NYC],Fast Food,New York,1,0 kWh,0 kW,0,223120,$25K,$21.82,$0M,46 kW,0,65032
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Restaurant,San Francisco,1,12 kWh,3 kW,73704.5,394859,$48K,$16.78,$0M,80 kW,11906.1,146096
GSEDS-1_Secondary_Demand,Retail Store,Helena,1,0 kWh,0 kW,121494,379290,$75K,$9.41,$0M,136 kW,12552,129653
GSEDS-1_Primary_Non-Demand,Large Office,Helena,1,0 kWh,0 kW,0,5337800,$818K,$0.00,$0M,"1,488 kW",0,1585190
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Midrise Apartment,Anaheim,1,31 kWh,9 kW,118406,176985,$39K,$30.87,$0M,49 kW,25665.1,55161
BES-Medium_Load_Delivery_Class_(Secondary),Supermarket,Chicago,1,0 kWh,0 kW,253153,1233140,$19K,$6.29,$0M,35 kW,7483,26130
LGS-1_-_Large_General_Service,Supermarket,LasVegas,1,0 kWh,0 kW,347023,1074200,$169K,$8.57,$0M,307 kW,29108,280569
Schedule_MDC_-_Medium_Standard_General_Service_City,Strip Mall,Seattle,1,0 kWh,0 kW,26208.2,268785,$0K,$2.32,$0M,0 kW,0,0
Small_General_Service_Metered_(A10),Large Office,Duluth,1,0 kWh,0 kW,0,5712320,$747K,$0.00,$0M,"1,358 kW",0,1450230
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Midrise Apartment,Phoenix,1,0 kWh,0 kW,56543.2,268986,$25K,$6.65,$0M,46 kW,2113.9,46655
Power_and_Light_Medium_Schedule_PLM-11,Warehouse,Atlanta,1,0 kWh,0 kW,0,96680.3,$0K,$0.00,$0M,0 kW,0,0
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Small Office,Atlanta,1,0 kWh,0 kW,27378.6,51037.2,$2K,$15.66,$0M,3 kW,921.3,1909.6
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Small Hotel,Anaheim,1,41 kWh,13 kW,198144,658171,$100K,$13.20,$0M,151 kW,18307,241199
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Warehouse,New York,1,51 kWh,15 kW,189270,194680,$74K,$41.95,$0M,99 kW,79986,87920
A-6_Small_General_Service_TOU_Single_Phase,Hospital,San Francisco,1,"2,707 kWh",436 kW,0,16224000,"$2,530K",$0.00,$4M,"3,119 kW",0,9631510
GS-2_(S)_Large_General_Service_Secondary,Small Hotel,Fairbanks,1,1 kWh,1 kW,186855,1338220,$83K,$11.06,$0M,150 kW,1775,210720
GSEDS-1_Secondary_Demand,Medium Office,Helena,1,0 kWh,0 kW,282284,659853,$57K,$9.41,$0M,103 kW,11107,93361
A-6_Small_General_Service_TOU_Single_Phase,Small Hotel,San Francisco,1,226 kWh,36 kW,0,1389800,$182K,$0.00,$0M,209 kW,0,639828
Large_Light_&_Power_-_Primary_voltage_discount,Retail Store,Minneapolis,1,0 kWh,0 kW,0,310972,$0K,$7.55,$0M,0 kW,0,0
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Restaurant,San Francisco,1,9 kWh,3 kW,73704.5,402636,$47K,$16.78,$0M,78 kW,11313,136846
GSEDS-1_Primary_Demand,Outpatient,Helena,1,0 kWh,0 kW,264415,1088350,$136K,$7.90,$0M,247 kW,20559,229104
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Outpatient,Phoenix,1,0 kWh,0 kW,261789,1231210,$232K,$6.65,$0M,422 kW,50703,428315
LGS-1_-_Large_General_Service,Large Hotel,LasVegas,1,0 kWh,0 kW,495121,1480860,$123K,$8.57,$0M,224 kW,0,205750
BES-Small_Load_Delivery_Class_(Secondary),Small Hotel,Chicago,1,0 kWh,0 kW,97563.3,462529,$0K,$6.18,$0M,0 kW,0,0
Schedule_G_-_Secondary,Primary School,Baltimore,1,0 kWh,0 kW,0,1173900,$164K,$0.00,$0M,299 kW,0,355955
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),Warehouse,San Francisco,1,0 kWh,0 kW,0,346584,$41K,$0.00,$0M,75 kW,0,150449
BES-Small_Load_Delivery_Class_(Secondary),Secondary School,Chicago,1,0 kWh,0 kW,514867,1563540,$58K,$6.18,$0M,106 kW,19066,79370
General_Service_With_Demand_Meter_(Rate_Code_25),Hospital,Minneapolis,1,0 kWh,0 kW,876513,6049440,$736K,$5.86,$0M,"1,338 kW",61767,1249190
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Restaurant,Seattle,1,0 kWh,0 kW,12731.1,203147,$0K,$2.32,$0M,0 kW,0,0
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Warehouse,Atlanta,1,0 kWh,0 kW,0,162006,$0K,$0.00,$0M,0 kW,0,4
Schedule_G_-_Secondary,Small Hotel,Baltimore,1,0 kWh,0 kW,0,836067,$76K,$0.00,$0M,139 kW,0,182182
Schedule_G_-_Secondary,Retail Store,Baltimore,1,0 kWh,0 kW,0,555843,$92K,$0.00,$0M,168 kW,0,221454
GSEDS-1_Secondary_Non-Demand,Large Hotel,Helena,1,0 kWh,0 kW,0,2340530,$211K,$0.00,$0M,383 kW,0,509070
SC-9_-_General_Large_TOD_Service_[NYC],Hospital,New York,1,"1,149 kWh",321 kW,6818630,6538560,"$1,785K",$54.31,$1M,"2,458 kW",1880110,2226040
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Small Hotel,Anaheim,1,32 kWh,9 kW,149659,741926,$97K,$9.97,$0M,154 kW,9789,266479
GSDT-1_(General_Service_Demand_-Time-Of-Use),Midrise Apartment,Miami,1,0 kWh,0 kW,95891.9,191041,$0K,$9.20,$0M,0 kW,0,0
GS-1_General_Service,Small Office,Fairbanks,1,0 kWh,0 kW,0,136771,$16K,$0.00,$0M,28 kW,0,36247
General_Service_With_Demand_Meter_(Rate_Code_25),Supermarket,Minneapolis,1,0 kWh,0 kW,233660,1460940,$205K,$5.86,$0M,374 kW,20545,349790
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,Medium Office,LasVegas,1,0 kWh,0 kW,269771,480444,$84K,$16.49,$0M,152 kW,38403,118766
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Retail Store,LasVegas,1,0 kWh,0 kW,107169,347246,$69K,$12.47,$0M,126 kW,11142.7,116600
Small_General_Time-of-Day_Service_(A12),Small Office,Duluth,1,0 kWh,0 kW,0,85085.8,$14K,$0.00,$0M,26 kW,0,32233.3
E-61_Standard_Price_Plan_For_Secondary_Large_General_Service,Large Office,Phoenix,1,0 kWh,0 kW,520747,4091970,$232K,$4.16,$0M,421 kW,34746,369990
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Primary School,San Francisco,1,173 kWh,40 kW,457635,1262430,$289K,$17.58,$0M,415 kW,171345,722041
General_Service_(A14),Supermarket,Duluth,1,0 kWh,0 kW,473231,1048600,$22K,$14.98,$0M,40 kW,15761,26830
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Outpatient,Seattle,1,0 kWh,0 kW,69748.4,916557,$0K,$2.32,$0M,0 kW,0,0
Large_Light_&_Power_-_Primary_voltage_discount,Large Hotel,Minneapolis,1,0 kWh,0 kW,0,1371950,$0K,$7.55,$0M,0 kW,0,0
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Primary School,San Francisco,1,218 kWh,47 kW,761166,949958,$298K,$34.72,$0M,408 kW,319580,481867
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Strip Mall,Seattle,1,0 kWh,0 kW,26208.2,293474,$0K,$2.32,$0M,0 kW,0,0
Schedule_MDD_-_Medium_Network_General_Service,Warehouse,Seattle,1,0 kWh,0 kW,25004.6,151311,$0K,$4.54,$0M,0 kW,0,0
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Small Hotel,LasVegas,1,0 kWh,0 kW,121299,460547,$47K,$12.47,$0M,86 kW,231,81121
Schedule_GL_(Secondary_Voltage),Strip Mall,Baltimore,1,0 kWh,0 kW,81561.5,371821,$64K,$6.15,$0M,117 kW,8021.7,111007
E-36_Standard_Price_Plan_for_General_Service,Small Office,Phoenix,1,0 kWh,0 kW,13595.4,62807.6,$8K,$6.76,$0M,15 kW,2149.3,13534.8
Large_Light_&_Power_-_Primary_voltage_discount,Supermarket,Minneapolis,1,0 kWh,0 kW,0,1173430,$0K,$7.55,$0M,0 kW,0,0
GSDT-1_(General_Service_Demand_-Time-Of-Use),Primary School,Miami,1,0 kWh,0 kW,429874,668922,$50K,$9.20,$0M,91 kW,34552,55529
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Supermarket,Phoenix,1,0 kWh,0 kW,260188,1393910,$255K,$6.65,$0M,464 kW,31788,486073
E-36_Standard_Price_Plan_for_General_Service,Primary School,Phoenix,1,0 kWh,0 kW,186831,774212,$87K,$6.76,$0M,159 kW,27949,151985
Large_Light_&_Power_-_Primary_voltage_discount,Midrise Apartment,Minneapolis,1,0 kWh,0 kW,0,154206,$0K,$7.55,$0M,0 kW,0,0
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Strip Mall,San Francisco,1,56 kWh,15 kW,152863,594110,$118K,$16.78,$0M,176 kW,48837,325246
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Warehouse,Seattle,1,0 kWh,0 kW,12777.7,134398,$0K,$2.32,$0M,0 kW,0,0
3B_General_Power_TOU_(PNM-Owned_Transformer),Large Office,Albuquerque,1,102 kWh,81 kW,2185310,3612250,$889K,$17.47,$0M,"1,486 kW",422370,1386180
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Large Hotel,Boulder,1,25 kWh,20 kW,841904,743338,$21K,$18.90,$0M,7 kW,33077,3046
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Retail Store,San Francisco,1,127 kWh,27 kW,322454,424286,$145K,$34.72,$0M,186 kW,134269,252749
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Midrise Apartment,Los Angeles,1,5 kWh,2 kW,84103.6,210228,$29K,$17.48,$0M,48 kW,12286.9,59954
A-6_Small_General_Service_TOU_Single_Phase,Large Hotel,San Francisco,1,744 kWh,119 kW,0,4418220,$590K,$0.00,$1M,666 kW,0,2046950
Small_General_Service_Metered_(A10),Secondary School,Duluth,1,0 kWh,0 kW,0,2196360,$197K,$0.00,$0M,358 kW,0,384450
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Midrise Apartment,Anaheim,1,18 kWh,5 kW,54007.4,256311,$38K,$9.97,$0M,58 kW,7732.8,95962
A-6_Small_General_Service_TOU_Single_Phase,Midrise Apartment,San Francisco,1,97 kWh,16 kW,0,461263,$69K,$0.00,$0M,72 kW,0,218858
Small_General_Service_Metered_(A10),Retail Store,Duluth,1,0 kWh,0 kW,0,502035,$82K,$0.00,$0M,149 kW,0,173027
4B_Large_Power_TOU_(PNM-Owned_Transformer),Secondary School,Albuquerque,1,0 kWh,0 kW,403852,1285370,$234K,$17.47,$0M,425 kW,151396,327433
BES-Medium_Load_Delivery_Class_(Secondary),Small Office,Chicago,1,0 kWh,0 kW,14105.1,52498.7,$0K,$6.29,$0M,0 kW,0,0
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Supermarket,San Francisco,1,313 kWh,72 kW,608614,2190460,$442K,$17.58,$0M,606 kW,204717,1202692
Power_and_Light_Medium_Schedule_PLM-11,Supermarket,Atlanta,1,0 kWh,0 kW,0,907332,$0K,$0.00,$0M,0 kW,0,0
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Midrise Apartment,Atlanta,1,0 kWh,0 kW,80574.5,162364,$0K,$15.66,$0M,0 kW,0,0
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Secondary School,Anaheim,1,381 kWh,102 kW,1337380,2695240,$734K,$15.57,$1M,"1,079 kW",518353,1577920
GS-2_(S)_Large_General_Service_Secondary,Medium Office,Fairbanks,1,12 kWh,9 kW,403207,2039380,$175K,$11.06,$0M,302 kW,23544,399790
SC-9_-_General_Large_Low_Tension_Service_[NYC],Retail Store,New York,1,0 kWh,0 kW,0,590413,$98K,$21.82,$0M,177 kW,0,245564
3B_General_Power_TOU_(PNM-Owned_Transformer),Strip Mall,Albuquerque,1,11 kWh,8 kW,105109,283997,$77K,$17.47,$0M,126 kW,28889.8,124910
E-36_Standard_Price_Plan_for_General_Service,Strip Mall,Phoenix,1,0 kWh,0 kW,77883.1,354929,$80K,$6.76,$0M,145 kW,12892.2,142903
BES-Medium_Load_Delivery_Class_(Secondary),Small Hotel,Chicago,1,0 kWh,0 kW,99299.9,462529,$0K,$6.29,$0M,0 kW,0,0
3B_General_Power_TOU_(PNM-Owned_Transformer),Retail Store,Albuquerque,1,11 kWh,9 kW,108848,290168,$80K,$17.47,$0M,131 kW,29959.3,129906
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Strip Mall,Phoenix,1,0 kWh,0 kW,101363,417930,$90K,$6.65,$0M,163 kW,19627.8,167540
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Supermarket,LasVegas,1,0 kWh,0 kW,303980,1181910,$202K,$12.47,$0M,368 kW,28739,344043
OGS-TOU-NEM,Small Office,LasVegas,1,0 kWh,0 kW,0,59603.9,$1K,$0.00,$0M,3 kW,0,2490
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Restaurant,Anaheim,1,20 kWh,8 kW,136807,250724,$53K,$30.87,$0M,79 kW,33289,91390
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Fast Food,San Francisco,1,5 kWh,2 kW,41178.9,233469,$27K,$16.78,$0M,45 kW,4721.8,79810
Schedule_G_-_Secondary,Restaurant,Baltimore,1,0 kWh,0 kW,0,372449,$42K,$0.00,$0M,77 kW,0,103158
GLSDT-1_(General_Service_Large_Demand_-_Time-Of-Use),Hospital,Miami,1,0 kWh,0 kW,2135000,4057890,$27K,$11.00,$0M,49 kW,19540,27210
OGS-TOU-NEM,Strip Mall,LasVegas,1,0 kWh,0 kW,0,347574,$23K,$0.00,$0M,42 kW,0,38819
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Fast Food,San Francisco,1,15 kWh,4 kW,53106.8,204117,$30K,$17.58,$0M,45 kW,8273.4,89220
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Fast Food,San Francisco,1,6 kWh,2 kW,41178.9,228514,$27K,$16.78,$0M,45 kW,4892.7,84369
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Secondary School,Boulder,1,17 kWh,14 kW,1287350,784612,$68K,$18.90,$0M,102 kW,75380,48712
Power_and_Light_Large_Schedule_PLL-11,Hospital,Atlanta,1,0 kWh,0 kW,0,4564330,$0K,$0.00,$0M,0 kW,0,0
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Large Hotel,Anaheim,1,244 kWh,77 kW,787000,2151870,$382K,$15.57,$0M,517 kW,123690,841040
BES-Medium_Load_Delivery_Class_(Secondary),Large Hotel,Chicago,1,0 kWh,0 kW,328672,1461900,$0K,$6.29,$0M,0 kW,0,0
GSEDS-1_Secondary_Demand,Primary School,Helena,1,0 kWh,0 kW,240096,705132,$66K,$9.41,$0M,120 kW,27671,109783
General_Service_(A14),Small Hotel,Duluth,1,0 kWh,0 kW,191137,398209,$0K,$14.98,$0M,0 kW,0,0
General_Service_With_Demand_Meter_(Rate_Code_25),Secondary School,Minneapolis,1,0 kWh,0 kW,447527,1794100,$111K,$5.86,$0M,202 kW,28965,185790
BES-Large_Load_Delivery_Class_(Secondary),Small Office,Chicago,1,0 kWh,0 kW,15091.8,52498.7,$0K,$6.73,$0M,0 kW,0,0
GSEDS-1_Secondary_Non-Demand,Small Office,Helena,1,0 kWh,0 kW,0,87748.2,$14K,$0.00,$0M,25 kW,0,29081.5
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Restaurant,Atlanta,1,0 kWh,0 kW,72590.9,192286,$0K,$15.66,$0M,0 kW,0,0
OGS-TOU-NEM,Retail Store,LasVegas,1,0 kWh,0 kW,0,349938,$27K,$0.00,$0M,50 kW,0,45591
General_Service_With_Demand_Meter_(Rate_Code_25),Medium Office,Minneapolis,1,0 kWh,0 kW,180117,722250,$45K,$5.86,$0M,81 kW,6417,73362
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Strip Mall,LasVegas,1,0 kWh,0 kW,109145,344783,$69K,$12.47,$0M,126 kW,12525.3,115720
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Fast Food,Phoenix,1,0 kWh,0 kW,24959.9,145110,$23K,$6.65,$0M,41 kW,1045.9,43281
BES-Small_Load_Delivery_Class_(Secondary),Retail Store,Chicago,1,0 kWh,0 kW,80359.3,312438,$0K,$6.18,$0M,0 kW,0,0
GSEDS-1_Secondary_Non-Demand,Fast Food,Helena,1,0 kWh,0 kW,0,193680,$23K,$0.00,$0M,42 kW,0,56095
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Primary School,Phoenix,1,0 kWh,0 kW,223594,930054,$161K,$6.65,$0M,293 kW,47722,278249
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Primary School,Anaheim,1,132 kWh,38 kW,801982,805021,$262K,$38.02,$0M,385 kW,343101,375942
GSDT-1_(General_Service_Demand_-Time-Of-Use),Retail Store,Miami,1,0 kWh,0 kW,165782,293785,$8K,$9.20,$0M,15 kW,5233,8830
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Small Hotel,San Francisco,1,155 kWh,35 kW,246273,762725,$143K,$17.58,$0M,164 kW,62642,323003
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Midrise Apartment,Seattle,1,0 kWh,0 kW,12223.7,151205,$0K,$2.32,$0M,0 kW,0,0
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Hospital,Atlanta,1,0 kWh,0 kW,1700510,4840090,$43K,$15.66,$0M,78 kW,23290,51890
SC-9_-_General_Large_Low_Tension_Service_[NYC],Large Hotel,New York,1,0 kWh,0 kW,0,2932350,$276K,$21.82,$0M,501 kW,0,672040
GS-2_(S)_Large_General_Service_Secondary,Midrise Apartment,Fairbanks,1,0 kWh,0 kW,61516.9,437511,$28K,$11.06,$0M,50 kW,2344.9,68980
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Fast Food,Los Angeles,1,3 kWh,1 kW,50319.9,159882,$25K,$17.48,$0M,42 kW,10470.9,55531
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Fast Food,LasVegas,1,0 kWh,0 kW,27910.9,118212,$18K,$12.47,$0M,32 kW,492.1,30452.3
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),Outpatient,Anaheim,1,120 kWh,48 kW,833321,1061770,$310K,$34.91,$0M,465 kW,271330,478735
GSLD-1_(General_Service_Large_Demand),Large Hotel,Miami,1,0 kWh,0 kW,817410,1393170,$0K,$12.56,$0M,0 kW,0,0
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),Hospital,Anaheim,1,441 kWh,182 kW,2432480,6971760,"$1,447K",$16.23,$1M,"2,260 kW",515810,3141300
General_Service_With_Demand_Meter_(Rate_Code_25),Large Hotel,Minneapolis,1,0 kWh,0 kW,305880,1708100,$129K,$5.86,$0M,236 kW,819,221250
Power_and_Light_Medium_Schedule_PLM-11,Fast Food,Atlanta,1,0 kWh,0 kW,0,85605.1,$0K,$0.00,$0M,0 kW,0,0
LGS-1_-_Large_General_Service,Primary School,LasVegas,1,0 kWh,0 kW,293432,642688,$77K,$8.57,$0M,140 kW,36666,122065
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Restaurant,San Francisco,1,36 kWh,11 kW,155419,283560,$56K,$34.72,$0M,77 kW,40170,107391
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Small Hotel,New York,1,198 kWh,47 kW,489024,650478,$166K,$41.95,$0M,176 kW,145823,183235
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),Large Office,Anaheim,1,530 kWh,241 kW,2711020,5992580,"$1,619K",$16.23,$1M,"2,471 kW",744580,3218750
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Medium Office,Seattle,1,0 kWh,0 kW,60768.6,561360,$0K,$2.32,$0M,0 kW,0,0
Schedule_MDC_-_Medium_Standard_General_Service_City,Restaurant,Seattle,1,0 kWh,0 kW,12731.1,186058,$0K,$2.32,$0M,0 kW,0,0
Schedule_GL_(Secondary_Voltage),Large Hotel,Baltimore,1,0 kWh,0 kW,335034,1852770,$148K,$6.15,$0M,269 kW,0,258610
GLSDT-1_(General_Service_Large_Demand_-_Time-Of-Use),Secondary School,Miami,1,0 kWh,0 kW,1554860,1726750,$144K,$11.00,$0M,261 kW,117430,145280
Small_General_Service_Metered_(A10),Small Hotel,Duluth,1,0 kWh,0 kW,0,709329,$60K,$0.00,$0M,110 kW,0,128067
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Small Hotel,San Francisco,1,41 kWh,15 kW,192288,889146,$92K,$16.78,$0M,135 kW,19841,243070
SC-9_-_General_Large_Low_Tension_Service_[NYC],Primary School,New York,1,0 kWh,0 kW,0,1246530,$173K,$21.82,$0M,314 kW,0,394120
GSEDS-1_Primary_Demand,Medium Office,Helena,1,0 kWh,0 kW,236909,645850,$54K,$7.90,$0M,98 kW,8974,87354
Schedule_MDC_-_Medium_Standard_General_Service_City,Supermarket,Seattle,1,0 kWh,0 kW,84094.8,1090970,$0K,$2.32,$0M,0 kW,0,0
Schedule_LGC_-_Large_Standard_General_Service_City,Hospital,Seattle,1,0 kWh,0 kW,316801,4529750,$0K,$2.08,$0M,0 kW,0,0
GSD-1_(General_Service_Demand),Retail Store,Miami,1,0 kWh,0 kW,171593,282573,$4K,$10.60,$0M,8 kW,2688,4677
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Retail Store,Phoenix,1,0 kWh,0 kW,100960,421782,$86K,$6.65,$0M,157 kW,17116.8,163084
GSEDS-1_Secondary_Demand,Outpatient,Helena,1,0 kWh,0 kW,315058,1111950,$157K,$9.41,$0M,285 kW,26823,266463
OGS-TOU-NEM,Fast Food,LasVegas,1,0 kWh,0 kW,0,114948,$16K,$0.00,$0M,29 kW,0,26657.8
OGS-TOU-NEM,Outpatient,LasVegas,1,0 kWh,0 kW,0,1004380,$91K,$0.00,$0M,165 kW,0,151067
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Warehouse,Anaheim,1,16 kWh,7 kW,102242,134764,$46K,$30.87,$0M,69 kW,37621.7,66381.5
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Small Office,LasVegas,1,0 kWh,0 kW,19560.6,56750.6,$10K,$12.47,$0M,18 kW,3076.1,15227.1
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Primary School,Seattle,1,0 kWh,0 kW,58053.5,626827,$0K,$2.32,$0M,0 kW,0,0
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Outpatient,Boulder,1,3 kWh,2 kW,603648,521219,$6K,$18.90,$0M,7 kW,6768,3378
BES-Large_Load_Delivery_Class_(Secondary),Supermarket,Chicago,1,0 kWh,0 kW,270862,1233140,$20K,$6.73,$0M,36 kW,8154,26800
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Warehouse,Los Angeles,1,12 kWh,6 kW,73893.6,157027,$43K,$17.48,$0M,66 kW,28221.3,72010.9
GSD-1_(General_Service_Demand),Small Hotel,Miami,1,0 kWh,0 kW,194877,432512,$0K,$10.60,$0M,0 kW,0,0
LGS-1_-_Large_General_Service,Retail Store,LasVegas,1,0 kWh,0 kW,119708,293177,$62K,$8.57,$0M,113 kW,9448,102133
3B_General_Power_TOU_(PNM-Owned_Transformer),Medium Office,Albuquerque,1,19 kWh,15 kW,294818,498067,$125K,$17.47,$0M,202 kW,95137,187102
Schedule_GL_(Secondary_Voltage),Midrise Apartment,Baltimore,1,0 kWh,0 kW,39267.4,200310,$16K,$6.15,$0M,28 kW,675.2,27268
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Small Hotel,Anaheim,1,134 kWh,36 kW,362114,511264,$138K,$38.02,$0M,161 kW,97586,178432
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Small Office,San Francisco,1,17 kWh,4 kW,35515.9,98327.6,$25K,$17.58,$0M,33 kW,14392.7,60587.6
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Fast Food,San Francisco,1,20 kWh,6 kW,87751,164109,$32K,$34.72,$0M,44 kW,20933.2,62107
Schedule_GL_(Secondary_Voltage),Warehouse,Baltimore,1,0 kWh,0 kW,40094.4,168337,$11K,$6.15,$0M,20 kW,1884.8,18277
Schedule_MDB-_Medium_Standard_General_Service_Burien,Restaurant,Seattle,1,0 kWh,0 kW,12731.1,196808,$0K,$2.32,$0M,0 kW,0,0
OGS-TOU-NEM,Midrise Apartment,LasVegas,1,0 kWh,0 kW,0,209594,$13K,$0.00,$0M,23 kW,0,21052
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Outpatient,Seattle,1,0 kWh,0 kW,69748.4,914076,$0K,$2.32,$0M,0 kW,0,0
Small_General_Service_Metered_(A10),Restaurant,Duluth,1,0 kWh,0 kW,0,300895,$33K,$0.00,$0M,60 kW,0,70480
Schedule_G_-_Secondary,Large Hotel,Baltimore,1,0 kWh,0 kW,0,2759610,$256K,$0.00,$0M,465 kW,0,599770
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Supermarket,New York,1,321 kWh,81 kW,1290670,1710870,$463K,$41.95,$0M,632 kW,381532,658950
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Large Office,Phoenix,1,0 kWh,0 kW,1064400,5036200,$982K,$6.65,$0M,"1,787 kW",182127,1744410
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Medium Office,Boulder,1,0 kWh,0 kW,138498,758889,$112K,$4.84,$0M,203 kW,7735,227308
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Primary School,San Francisco,1,109 kWh,30 kW,355228,1310060,$260K,$16.78,$0M,399 kW,124174,633239
