Rate,Building Type,City,Cost Point Selector,Battery Capacity (kWh),Battery Power (kW),BAU Demand Cost,BAU Energy Cost,Capital Cost ($),Max Demand Rate ($/kW),Npv ($),PV Size (kW),Total Demand Savings ($),Total kWh Savings ($)
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Small Office,Boulder,1,0 kWh,0 kW,10630.9,72090.8,$7K,$4.84,$0M,10 kW,864.17,11765.8
OGS-TOU-NEM,Primary School,LasVegas,1,0 kWh,0 kW,0,757581,$0K,$0.00,$0M,0 kW,0,0
Schedule_MDC_-_Medium_Standard_General_Service_City,Restaurant,Seattle,1,0 kWh,0 kW,12731.1,186058,$0K,$2.32,$0M,0 kW,0,0
3B_General_Power_TOU_(PNM-Owned_Transformer),Large Office,Albuquerque,1,0 kWh,0 kW,2185310,3612250,$509K,$17.47,$0M,750 kW,210480,736120
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Retail Store,LasVegas,1,0 kWh,0 kW,107169,347246,$2K,$12.47,$0M,3 kW,537,2877
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Supermarket,San Francisco,1,6 kWh,5 kW,471299,2346650,$345K,$16.78,$0M,500 kW,78650,914100
A-6_Small_General_Service_TOU_Single_Phase,Midrise Apartment,San Francisco,1,43 kWh,7 kW,0,461263,$55K,$0.00,$0M,58 kW,0,178822
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Outpatient,Boulder,1,0 kWh,0 kW,603648,521219,$0K,$18.90,$0M,0 kW,713,12
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Midrise Apartment,Atlanta,1,0 kWh,0 kW,0,225661,$0K,$0.00,$0M,0 kW,0,0
BES-Small_Load_Delivery_Class_(Secondary),Midrise Apartment,Chicago,1,0 kWh,0 kW,37432.9,161657,$0K,$6.18,$0M,0 kW,0,0
SC-9_-_General_Large_Low_Tension_Service_[NYC],Strip Mall,New York,1,0 kWh,0 kW,0,584002,$101K,$21.82,$0M,148 kW,0,213521
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Outpatient,Los Angeles,1,2 kWh,2 kW,519453,1337890,$264K,$17.48,$0M,387 kW,108081,494288
BES-Medium_Load_Delivery_Class_(Secondary),Small Office,Chicago,1,0 kWh,0 kW,14105.1,52498.7,$0K,$6.29,$0M,0 kW,0,0
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Outpatient,Atlanta,1,0 kWh,0 kW,0,1236820,$0K,$0.00,$0M,0 kW,0,0
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Small Hotel,San Francisco,1,12 kWh,5 kW,192288,863641,$90K,$16.78,$0M,122 kW,7306,235480
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Midrise Apartment,San Francisco,1,0 kWh,0 kW,66161,291120,$25K,$16.78,$0M,36 kW,2539.4,64636
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Retail Store,Anaheim,1,43 kWh,15 kW,331408,358678,$123K,$38.02,$0M,151 kW,104237,170444
GSEDS-1_Secondary_Demand,Outpatient,Helena,1,0 kWh,0 kW,315058,1111950,$37K,$9.41,$0M,54 kW,8454,52510
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Warehouse,Anaheim,1,2 kWh,1 kW,47659.1,195487,$45K,$9.97,$0M,65 kW,7381.1,100890.9
GSEDS-1_Secondary_Non-Demand,Midrise Apartment,Helena,1,0 kWh,0 kW,0,263264,$23K,$0.00,$0M,34 kW,0,46435
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Small Office,Boulder,1,0 kWh,0 kW,37523.2,27280,$0K,$18.90,$0M,0 kW,0,0
2A_(Small_Power_Service),Small Office,Albuquerque,1,0 kWh,0 kW,0,89940.7,$15K,$0.00,$0M,23 kW,0,32935
BES-Medium_Load_Delivery_Class_(Secondary),Secondary School,Chicago,1,0 kWh,0 kW,524032,1563540,$0K,$6.29,$0M,0 kW,0,0
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Outpatient,Anaheim,1,90 kWh,42 kW,858507,1099300,$337K,$38.02,$0M,420 kW,259594,455383
GSD-1_(General_Service_Demand),Strip Mall,Miami,1,0 kWh,0 kW,186219,300685,$0K,$10.60,$0M,0 kW,0,0
E-36_Standard_Price_Plan_for_General_Service,Restaurant,Phoenix,1,0 kWh,0 kW,36160,234074,$0K,$6.76,$0M,0 kW,0,0
SC-9_-_General_Large_Low_Tension_Service_[NYC],Midrise Apartment,New York,1,0 kWh,0 kW,0,316142,$25K,$21.82,$0M,37 kW,0,54045
GSEDS-1_Primary_Demand,Small Hotel,Helena,1,0 kWh,0 kW,119920,506470,$0K,$7.90,$0M,0 kW,0,0
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Outpatient,San Francisco,1,121 kWh,43 kW,853761,1275500,$342K,$34.72,$0M,415 kW,256805,559557
General_Service_(A14),Restaurant,Duluth,1,0 kWh,0 kW,67941.5,168787,$0K,$14.98,$0M,0 kW,0,0
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Fast Food,San Francisco,1,5 kWh,2 kW,53106.8,204117,$30K,$17.58,$0M,41 kW,5197.4,82848
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Fast Food,Atlanta,1,0 kWh,0 kW,38019.5,106175,$0K,$15.66,$0M,0 kW,0,0
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Medium Office,San Francisco,1,128 kWh,39 kW,384915,983643,$254K,$17.58,$0M,288 kW,114711,542737
GS-2_(S)_Large_General_Service_Secondary,Midrise Apartment,Fairbanks,1,0 kWh,0 kW,61516.9,437511,$28K,$11.06,$0M,41 kW,1774.8,60109
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Medium Office,Boulder,1,0 kWh,0 kW,138498,758889,$87K,$4.84,$0M,128 kW,6173,152254
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Fast Food,Atlanta,1,0 kWh,0 kW,0,146315,$0K,$0.00,$0M,0 kW,0,0
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Large Hotel,Seattle,1,0 kWh,0 kW,110902,1410070,$0K,$2.32,$0M,0 kW,0,0
Schedule_G_-_Secondary,Strip Mall,Baltimore,1,0 kWh,0 kW,0,549816,$93K,$0.00,$0M,137 kW,0,187581
SC-9_-_General_Large_TOD_Service_[NYC],Large Office,New York,1,935 kWh,285 kW,7658200,5025000,"$1,878K",$54.31,$1M,"2,133 kW",2249610,1823940
GSEDS-1_Primary_Demand,Fast Food,Helena,1,0 kWh,0 kW,24997.6,128997,$0K,$7.90,$0M,0 kW,0,0
GSEDS-1_Primary_Non-Demand,Retail Store,Helena,1,0 kWh,0 kW,0,475650,$90K,$0.00,$0M,132 kW,0,158762
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Retail Store,Anaheim,1,11 kWh,4 kW,170539,498369,$119K,$13.20,$0M,166 kW,35813,263480
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Small Office,San Francisco,1,11 kWh,4 kW,59611.5,73476.3,$25K,$34.72,$0M,29 kW,22864.1,36145.6
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Large Hotel,LasVegas,1,0 kWh,0 kW,435873,1605550,$0K,$12.47,$0M,0 kW,0,0
GSEDS-1_Primary_Non-Demand,Warehouse,Helena,1,0 kWh,0 kW,0,224295,$8K,$0.00,$0M,11 kW,0,13534
SC-9_-_General_Large_Low_Tension_Service_[NYC],Fast Food,New York,1,0 kWh,0 kW,0,223120,$28K,$21.82,$0M,41 kW,0,60184
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Small Hotel,Atlanta,1,0 kWh,0 kW,167545,427322,$0K,$15.66,$0M,0 kW,0,0
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Large Hotel,Seattle,1,0 kWh,0 kW,110902,1413890,$0K,$2.32,$0M,0 kW,0,0
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Strip Mall,San Francisco,1,68 kWh,18 kW,195888,577398,$144K,$17.58,$0M,169 kW,61994,343135
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Strip Mall,San Francisco,1,3 kWh,2 kW,152863,578552,$106K,$16.78,$0M,152 kW,30202,270088
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Retail Store,Boulder,1,0 kWh,0 kW,61256.3,425922,$84K,$4.84,$0M,124 kW,5420,157250
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Small Hotel,Atlanta,1,0 kWh,0 kW,0,594299,$0K,$0.00,$0M,0 kW,0,0
BES-Medium_Load_Delivery_Class_(Secondary),Primary School,Chicago,1,0 kWh,0 kW,181001,636797,$0K,$6.29,$0M,0 kW,0,0
E-36_Standard_Price_Plan_for_General_Service,Small Hotel,Phoenix,1,0 kWh,0 kW,86804.4,529627,$0K,$6.76,$0M,0 kW,0,0
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Small Hotel,San Francisco,1,67 kWh,19 kW,246273,762725,$120K,$17.58,$0M,134 kW,33506,274705
GSEDS-1_Secondary_Non-Demand,Warehouse,Helena,1,0 kWh,0 kW,0,262841,$27K,$0.00,$0M,39 kW,0,49257
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Small Hotel,Seattle,1,0 kWh,0 kW,33745.1,442267,$0K,$2.32,$0M,0 kW,0,0
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Secondary School,New York,1,382 kWh,117 kW,2974440,2287350,$682K,$41.95,$0M,746 kW,663260,715410
Small_General_Service_Metered_(A10),Strip Mall,Duluth,1,0 kWh,0 kW,0,472395,$76K,$0.00,$0M,112 kW,0,132520
OGS-TOU-NEM,Strip Mall,LasVegas,1,0 kWh,0 kW,0,347574,$0K,$0.00,$0M,0 kW,0,0
GS-2_(S)_Large_General_Service_Secondary,Large Office,Fairbanks,1,0 kWh,0 kW,1629530,9586230,"$1,212K",$11.06,$0M,"1,786 kW",112840,2445800
E-36_Standard_Price_Plan_for_General_Service,Warehouse,Phoenix,1,0 kWh,0 kW,34339.7,145100,$5K,$6.76,$0M,8 kW,1294.7,7629
A-6_Small_General_Service_TOU_Single_Phase,Restaurant,San Francisco,1,35 kWh,6 kW,0,642668,$75K,$0.00,$0M,92 kW,0,289171
Schedule_LGD_-_Large_Network_General_Service_(Transformer_Investment_Discount),Large Office,Seattle,1,0 kWh,0 kW,581365,4322940,$0K,$3.83,$0M,0 kW,0,0
GSEDS-1_Secondary_Non-Demand,Restaurant,Helena,1,0 kWh,0 kW,0,338916,$43K,$0.00,$0M,63 kW,0,87866
General_Service_(A14),Midrise Apartment,Duluth,1,0 kWh,0 kW,69732.1,135717,$0K,$14.98,$0M,0 kW,0,0
BES-Medium_Load_Delivery_Class_(Secondary),Restaurant,Chicago,1,0 kWh,0 kW,38048.1,203169,$0K,$6.29,$0M,0 kW,0,0
Small_General_Service_Metered_(A10),Primary School,Duluth,1,0 kWh,0 kW,0,922888,$53K,$0.00,$0M,78 kW,0,93775
BES-Medium_Load_Delivery_Class_(Secondary),Outpatient,Chicago,1,0 kWh,0 kW,210554,966539,$0K,$6.29,$0M,0 kW,0,0
Schedule_GS_Type_2_(Secondary),Small Office,Baltimore,1,0 kWh,0 kW,0,79396.3,$3K,$0.00,$0M,5 kW,0,5745.9
Schedule_LGC_-_Large_Standard_General_Service_City,Large Office,Seattle,1,0 kWh,0 kW,335849,3628290,$0K,$2.08,$0M,0 kW,0,0
General_Service_With_Demand_Meter_(Rate_Code_25),Supermarket,Minneapolis,1,0 kWh,0 kW,233660,1460940,$11K,$5.86,$0M,16 kW,3464,15120
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Warehouse,Anaheim,1,7 kWh,4 kW,102242,134764,$45K,$30.87,$0M,59 kW,30307.9,57742.9
GSDT-1_(General_Service_Demand_-Time-Of-Use),Fast Food,Miami,1,0 kWh,0 kW,41764.8,99632.2,$0K,$9.20,$0M,0 kW,0,0
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_A_(Under_2kV),Outpatient,Anaheim,1,64 kWh,27 kW,619829,1250480,$330K,$17.81,$0M,435 kW,150674,587422
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Retail Store,Seattle,1,0 kWh,0 kW,25852.3,290537,$0K,$2.32,$0M,0 kW,0,0
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Supermarket,LasVegas,1,0 kWh,0 kW,303980,1181910,$22K,$12.47,$0M,33 kW,9296,30920
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Primary School,San Francisco,1,111 kWh,30 kW,457635,1262430,$307K,$17.58,$0M,382 kW,152558,675839
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Medium Office,Phoenix,1,0 kWh,0 kW,176085,722767,$80K,$6.65,$0M,118 kW,24902,120991
GSEDS-1_Primary_Non-Demand,Supermarket,Helena,1,0 kWh,0 kW,0,1750900,$284K,$0.00,$0M,418 kW,0,503580
GSEDS-1_Secondary_Non-Demand,Retail Store,Helena,1,0 kWh,0 kW,0,557393,$105K,$0.00,$0M,155 kW,0,213042
General_Service_With_Demand_Meter_(Rate_Code_25),Secondary School,Minneapolis,1,0 kWh,0 kW,447527,1794100,$34K,$5.86,$0M,50 kW,9686,46880
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Strip Mall,Anaheim,1,15 kWh,6 kW,174729,502358,$124K,$13.20,$0M,171 kW,43438,269538
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Retail Store,San Francisco,1,65 kWh,18 kW,322454,424286,$138K,$34.72,$0M,160 kW,107860,224462
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Midrise Apartment,Los Angeles,1,0 kWh,0 kW,84103.6,210228,$27K,$17.48,$0M,40 kW,7885.9,52020
General_Service_(A14),Medium Office,Duluth,1,0 kWh,0 kW,379764,546556,$0K,$14.98,$0M,0 kW,0,0
2B_Small_Power_Service_-_TOU,Small Office,Albuquerque,1,0 kWh,0 kW,0,117324,$21K,$0.00,$0M,32 kW,0,64887.6
GSD-1_(General_Service_Demand),Retail Store,Miami,1,0 kWh,0 kW,171593,282573,$0K,$10.60,$0M,0 kW,0,0
General_Service_With_Demand_Meter_(Rate_Code_25),Restaurant,Minneapolis,1,0 kWh,0 kW,34934.7,237610,$0K,$5.86,$0M,0 kW,0,0
Schedule_MDC_-_Medium_Standard_General_Service_City,Midrise Apartment,Seattle,1,0 kWh,0 kW,12223.7,138485,$0K,$2.32,$0M,0 kW,0,0
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Small Office,New York,1,8 kWh,3 kW,69711.1,72971.6,$22K,$41.95,$0M,26 kW,19640.5,24192.6
LGS-1_-_Large_General_Service,Medium Office,LasVegas,1,0 kWh,0 kW,250638,517736,$3K,$8.57,$0M,5 kW,1014,4500
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),Outpatient,Anaheim,1,67 kWh,32 kW,840551,926577,$254K,$36.38,$0M,315 kW,203604,300958
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Supermarket,Atlanta,1,0 kWh,0 kW,454779,1155560,$0K,$15.66,$0M,0 kW,0,0
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Outpatient,Boulder,1,0 kWh,0 kW,171829,1419640,$212K,$4.84,$0M,312 kW,13026,390130
GSEDS-1_Primary_Non-Demand,Small Hotel,Helena,1,0 kWh,0 kW,0,648913,$62K,$0.00,$0M,92 kW,0,110394
Schedule_MDB-_Medium_Standard_General_Service_Burien,Restaurant,Seattle,1,0 kWh,0 kW,12731.1,196808,$0K,$2.32,$0M,0 kW,0,0
Schedule_GL_(Secondary_Voltage),Midrise Apartment,Baltimore,1,0 kWh,0 kW,39267.4,200310,$0K,$6.15,$0M,0 kW,0,0
SC-9_-_General_Large_Low_Tension_Service_[NYC],Small Hotel,New York,1,0 kWh,0 kW,0,888102,$84K,$21.82,$0M,123 kW,0,177752
SC-9_-_General_Large_Low_Tension_Service_[NYC],Outpatient,New York,1,0 kWh,0 kW,0,1878060,$264K,$21.82,$0M,390 kW,0,555200
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_A_(Under_2kV),Primary School,Anaheim,1,37 kWh,16 kW,586492,929808,$256K,$17.81,$0M,346 kW,179981,431357
GSD-1_(General_Service_Demand),Fast Food,Miami,1,0 kWh,0 kW,42701.2,99884,$0K,$10.60,$0M,0 kW,0,0
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Medium Office,San Francisco,1,8 kWh,6 kW,290061,1001760,$173K,$16.78,$0M,245 kW,46720,387218
Schedule_MDD_-_Medium_Network_General_Service,Large Hotel,Seattle,1,0 kWh,0 kW,217024,1591830,$0K,$4.54,$0M,0 kW,0,0
E-61_Standard_Price_Plan_For_Secondary_Large_General_Service,Large Office,Phoenix,1,0 kWh,0 kW,520747,4091970,$0K,$4.16,$0M,0 kW,0,0
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Large Hotel,New York,1,256 kWh,77 kW,1759200,2147760,$344K,$41.95,$0M,335 kW,251980,366740
Power_and_Light_Medium_Schedule_PLM-11,Primary School,Atlanta,1,0 kWh,0 kW,0,489309,$0K,$0.00,$0M,0 kW,0,0
GS-2_(S)_Large_General_Service_Secondary,Strip Mall,Fairbanks,1,0 kWh,0 kW,135849,877801,$121K,$11.06,$0M,179 kW,10635,264001
GSEDS-1_Primary_Demand,Supermarket,Helena,1,0 kWh,0 kW,297934,1366560,$32K,$7.90,$0M,48 kW,10493,45330
GSDT-1_(General_Service_Demand_-Time-Of-Use),Supermarket,Miami,1,0 kWh,0 kW,442694,1014260,$3K,$9.20,$0M,4 kW,2288,2620
Schedule_MDD_-_Medium_Network_General_Service,Restaurant,Seattle,1,0 kWh,0 kW,24913.5,229333,$0K,$4.54,$0M,0 kW,0,0
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),Fast Food,San Francisco,1,0 kWh,0 kW,0,344665,$32K,$0.00,$0M,47 kW,0,117780
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Hospital,Phoenix,1,0 kWh,0 kW,1016140,6054090,$804K,$6.65,$0M,"1,185 kW",107392,1262510
Schedule_G_-_Secondary,Warehouse,Baltimore,1,0 kWh,0 kW,0,250359,$27K,$0.00,$0M,40 kW,0,49989
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Restaurant,New York,1,19 kWh,8 kW,202690,289750,$53K,$41.95,$0M,63 kW,28126,69353
Schedule_MDC_-_Medium_Standard_General_Service_City,Outpatient,Seattle,1,0 kWh,0 kW,69748.4,837180,$0K,$2.32,$0M,0 kW,0,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,Retail Store,Seattle,1,0 kWh,0 kW,25852.3,281470,$0K,$2.32,$0M,0 kW,0,0
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Fast Food,Anaheim,1,0 kWh,0 kW,33996.1,188865,$29K,$9.97,$0M,42 kW,3607.1,74329
Schedule_G_-_Secondary,Supermarket,Baltimore,1,0 kWh,0 kW,0,2198960,$326K,$0.00,$0M,481 kW,0,664520
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Restaurant,Anaheim,1,16 kWh,7 kW,165389,242996,$58K,$38.02,$0M,71 kW,37910,81907
GSEDS-1_Secondary_Demand,Large Hotel,Helena,1,0 kWh,0 kW,454264,1592660,$0K,$9.41,$0M,0 kW,0,0
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Medium Office,Atlanta,1,0 kWh,0 kW,0,694009,$0K,$0.00,$0M,0 kW,0,-1
OGS-TOU-NEM,Secondary School,LasVegas,1,0 kWh,0 kW,0,2155040,$0K,$0.00,$0M,0 kW,0,0
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Warehouse,Los Angeles,1,2 kWh,2 kW,73893.6,157027,$41K,$17.48,$0M,57 kW,20097.8,63120.3
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),Primary School,Anaheim,1,0 kWh,0 kW,363882,1088930,$238K,$11.05,$0M,351 kW,94170,489264
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),Small Office,San Francisco,1,0 kWh,0 kW,0,146561,$20K,$0.00,$0M,29 kW,0,62973.5
GSLD-1_(General_Service_Large_Demand),Hospital,Miami,1,0 kWh,0 kW,2155810,4078380,$0K,$12.56,$0M,0 kW,0,0
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),Secondary School,LasVegas,1,0 kWh,0 kW,1141940,1510290,$112K,$16.30,$0M,166 kW,59700,133090
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Strip Mall,Boulder,1,0 kWh,0 kW,211746,159080,$0K,$18.90,$0M,0 kW,0,0
LGS-1_-_Large_General_Service,Supermarket,LasVegas,1,0 kWh,0 kW,347023,1074200,$22K,$8.57,$0M,33 kW,11261,30120
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),Secondary School,San Francisco,1,251 kWh,75 kW,1947430,2090720,$699K,$33.72,$0M,861 kW,654600,967780
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Warehouse,San Francisco,1,15 kWh,6 kW,82372.7,223518,$56K,$17.58,$0M,70 kW,24377,125557.3
BES-Medium_Load_Delivery_Class_(Secondary),Supermarket,Chicago,1,0 kWh,0 kW,253153,1233140,$0K,$6.29,$0M,0 kW,0,0
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Warehouse,LasVegas,1,0 kWh,0 kW,56061.6,138782,$4K,$12.47,$0M,6 kW,1186.4,5840
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Hospital,Anaheim,1,300 kWh,123 kW,2333560,7805370,"$1,661K",$15.57,$1M,"2,207 kW",406540,3581910
BES-Medium_Load_Delivery_Class_(Secondary),Large Hotel,Chicago,1,0 kWh,0 kW,328672,1461900,$0K,$6.29,$0M,0 kW,0,0
GS-2_(S)_Large_General_Service_Secondary,Small Hotel,Fairbanks,1,0 kWh,0 kW,186855,1338220,$85K,$11.06,$0M,126 kW,929,186750
BES-Large_Load_Delivery_Class_(Secondary),Fast Food,Chicago,1,0 kWh,0 kW,22449.4,115436,$0K,$6.73,$0M,0 kW,0,0
Small_General_Service_Metered_(A10),Warehouse,Duluth,1,0 kWh,0 kW,0,240773,$8K,$0.00,$0M,12 kW,0,14189
Large_Light_&_Power_-_Primary_voltage_discount,Secondary School,Minneapolis,1,0 kWh,0 kW,0,1441030,$0K,$7.55,$0M,0 kW,0,0
GSEDS-1_Primary_Non-Demand,Secondary School,Helena,1,0 kWh,0 kW,0,2096260,$119K,$0.00,$0M,176 kW,0,210980
GSEDS-1_Primary_Demand,Medium Office,Helena,1,0 kWh,0 kW,236909,645850,$0K,$7.90,$0M,0 kW,0,0
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Retail Store,San Francisco,1,4 kWh,3 kW,150935,569885,$106K,$16.78,$0M,152 kW,29073,270789
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Supermarket,San Francisco,1,167 kWh,48 kW,608614,2190460,$442K,$17.58,$0M,541 kW,167464,1102680
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Large Office,Los Angeles,1,70 kWh,56 kW,2577220,5797630,"$1,366K",$17.48,$0M,"1,925 kW",584760,2339340
General_Service_(A14),Warehouse,Duluth,1,0 kWh,0 kW,82235.8,135818,$0K,$14.98,$0M,0 kW,0,0
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Primary School,Seattle,1,0 kWh,0 kW,58053.5,628528,$0K,$2.32,$0M,0 kW,0,0
Schedule_GL_(Secondary_Voltage),Primary School,Baltimore,1,0 kWh,0 kW,186940,791190,$50K,$6.15,$0M,73 kW,14490,70943
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Midrise Apartment,LasVegas,1,0 kWh,0 kW,60986.8,212614,$0K,$12.47,$0M,0 kW,0,0
LGS-1_-_Large_General_Service,Restaurant,LasVegas,1,0 kWh,0 kW,58146.6,199867,$0K,$8.57,$0M,0 kW,0,0
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Medium Office,Anaheim,1,63 kWh,28 kW,578728,621840,$211K,$38.02,$0M,258 kW,184827,264456
Schedule_P,Large Office,Baltimore,1,0 kWh,0 kW,918765,4385150,$0K,$5.31,$0M,0 kW,0,0
GLSDT-1_(General_Service_Large_Demand_-_Time-Of-Use),Secondary School,Miami,1,0 kWh,0 kW,1554860,1726750,$17K,$11.00,$0M,25 kW,14120,13840
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Warehouse,Boulder,1,0 kWh,0 kW,32395.3,214114,$20K,$4.84,$0M,30 kW,1900.7,35268
Small_General_Service_Metered_(A10),Outpatient,Duluth,1,0 kWh,0 kW,0,1443290,$146K,$0.00,$0M,216 kW,0,255760
SC-9_-_General_Large_Low_Tension_Service_[NYC],Restaurant,New York,1,0 kWh,0 kW,0,395597,$48K,$21.82,$0M,71 kW,0,103150
BES-Small_Load_Delivery_Class_(Secondary),Fast Food,Chicago,1,0 kWh,0 kW,20614.8,115436,$0K,$6.18,$0M,0 kW,0,0
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Secondary School,Los Angeles,1,15 kWh,12 kW,1293310,2270750,$547K,$17.48,$0M,788 kW,398102,899340
Large_Light_&_Power_-_Primary_voltage_discount,Fast Food,Minneapolis,1,0 kWh,0 kW,0,108636,$0K,$7.55,$0M,0 kW,0,0
Schedule_MDD_-_Medium_Network_General_Service,Outpatient,Seattle,1,0 kWh,0 kW,136490,1031900,$0K,$4.54,$0M,0 kW,0,0
Schedule_MDD_-_Medium_Network_General_Service,Midrise Apartment,Seattle,1,0 kWh,0 kW,23920.6,170696,$0K,$4.54,$0M,0 kW,0,0
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),Supermarket,Anaheim,1,72 kWh,29 kW,917052,1321010,$328K,$34.91,$0M,427 kW,201860,474709
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Strip Mall,Atlanta,1,0 kWh,0 kW,0,411944,$0K,$0.00,$0M,0 kW,0,0
OGS-TOU-NEM,Supermarket,LasVegas,1,0 kWh,0 kW,0,1168430,$0K,$0.00,$0M,0 kW,0,0
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Medium Office,Seattle,1,0 kWh,0 kW,60768.6,561360,$0K,$2.32,$0M,0 kW,0,0
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Small Office,Atlanta,1,0 kWh,0 kW,27378.6,51037.2,$0K,$15.66,$0M,0 kW,0,0
E-19_Medium_General_Demand_TOU_Option_R_(Secondary),Large Hotel,San Francisco,1,235 kWh,70 kW,804572,2429340,$397K,$17.58,$0M,428 kW,125129,879480
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Small Hotel,Anaheim,1,0 kWh,0 kW,149659,741926,$94K,$9.97,$0M,139 kW,0,240588
